Tournament,Start,End,Location,Prize,Winner,Runner-Up
The Summit 2 Finals,12/03/14,12/07/14,USA,298600,VG,C9
The Summit 2 SEA Qualifiers,10/09/14,11/09/14,Online,0,First Departure,Invasion 3
The Summit 3 Finals,05/13/15,05/17/15,USA,271650,Secret,EG
The Summit 3: Americas Qualifiers,03/01/15,04/04/15,Online,0,EG,NoT
The Summit 3: China Qualifiers,03/01/15,04/11/15,Online,0,LGD.cn,EHOME
The Summit 3: EU Qualifiers,03/01/15,04/02/15,Online,0,Secret,C9
The Summit 3: SEA Qualifiers,03/07/15,03/14/15,Online,0,Rave,MVP Phoenix
The Summit Finals,06/05/14,06/08/14,USA,102358,EG,DK
The Summit: Americas Qualifiers,05/03/14,05/10/14,Online,0,EG,NAR
The Summit: Asia Qualifiers,04/30/14,05/08/14,Online,0,VG,Nb
The Summit: European Qualifiers,04/30/14,05/18/14,Online,0,Fnatic.EU,mouz
Thor Open,12/08/12,12/09/12,Sweden,18800,Fnatic.EU,NTH
TPL I,01/04/12,03/11/12,Online,10000,NaVi,coL
TPL II,04/17/12,07/08/12,Online,10000,NaVi,CLG
TPL III,10/03/12,01/13/12,Online,6000,Empire,VP
TPL IV,02/10/13,04/28/13,Online,10000,Alliance,Liquid
TPL V,05/20/13,07/21/13,Online,15000,Alliance,mouz
V Games Tournament,06/02/14,06/25/14,Online,15520,DK,Nb
VPGame Pro League,04/06/15,04/19/15,Online,24380,VG,LGD.cn
WCG 2012,11/29/12,12/02/12,China,33000,iG,DK
WCG Asia 2011,11/12/11,11/13/11,Indonesia,6000,MUFC,Mineski
WCG Asia 2012,09/08/12,09/09/12,Malaysia,6000,Orange,SiG.Tr
WD Pro Series,03/22/14,06/22/14,Online,1500,Titan,Arrow
WEC China Qualifiers,08/28/14,08/31/14,Online,0,LGD.cn,CDEC
WEC Final,09/05/14,09/07/14,China,167400,EG,C9
WEC SEA Qualifiers,08/15/14,08/18/14,Online,0,Titan,MVP Phoenix
WePlay,03/09/13,05/13/13,Online,8700,Alliance,EG
WePlay 2,09/11/13,11/10/13,Online,25000,NaVi,Alliance
Windforce Dota 2 Cup,10/13/14,11/14/14,Online,3000,Fnatic.MY,SiG.Tr
World Cyber Arena,10/01/14,10/05/14,China,471250,Nb,C9
WPC ACE,09/22/13,01/01/14,China,228000,DK,iG
WPC ACE 2014,03/28/14,06/02/14,China,248800,iG,DK
WPC ACE 2014: Western Qualifiers,04/10/14,04/14/14,Online,0,C9,Alliance
WVW NESC April 2014,04/07/14,04/30/14,Online,8600,Team HGT,VG
WVW NESC June 2014,06/10/14,06/24/14,Online,8240,iG,Nb
Yard Red Festival,10/13/14,12/07/14,Online,4500,VP 2,HR
Yard White,02/12/14,03/01/14,Online,1500,Power Rangers,Relax
Zotac Starleague,04/11/14,04/27/14,Online,4700,CNB,JG
The International 2015 (Current Prize Pool),06/08/15,06/08/15,USA,12725863,None,None
